trial_id,cohort,ambient_lux,stress_level_db,reaction_latency_ms,hit_rate,false_alarm_rate,d_prime,beta_criterion,nasa_tlx_score,ammunition_saved_rounds
35,Control_Untrained,1.75,88.8,791.0,0.72,0.28,1.24,0.94,77.8,0
36,VR_Inoculated,1.75,88.8,435.3,0.94,0.06,2.82,1.05,41.0,350
37,Control_Untrained,3.85,90.3,690.6,0.72,0.28,1.24,0.94,62.7,0
38,VR_Inoculated,3.85,90.3,392.4,0.94,0.06,2.82,1.05,49.9,350
39,Control_Untrained,3.38,89.5,790.9,0.72,0.28,1.24,0.94,80.1,0
40,VR_Inoculated,3.38,89.5,476.0,0.94,0.06,2.82,1.05,37.3,350
41,Control_Untrained,1.98,89.0,776.1,0.72,0.28,1.24,0.94,64.2,0
42,VR_Inoculated,1.98,89.0,499.5,0.94,0.06,2.82,1.05,43.6,350
43,Control_Untrained,3.67,86.8,684.4,0.72,0.28,1.24,0.94,69.5,0
44,VR_Inoculated,3.67,86.8,478.9,0.94,0.06,2.82,1.05,45.6,350
45,Control_Untrained,1.85,90.0,727.4,0.72,0.28,1.24,0.94,81.1,0
46,VR_Inoculated,1.85,90.0,484.9,0.94,0.06,2.82,1.05,43.0,350
47,Control_Untrained,1.72,93.3,670.3,0.72,0.28,1.24,0.94,77.2,0
48,VR_Inoculated,1.72,93.3,520.3,0.94,0.06,2.82,1.05,39.8,350
49,Control_Untrained,3.18,93.3,698.2,0.72,0.28,1.24,0.94,79.8,0
50,VR_Inoculated,3.18,93.3,508.4,0.94,0.06,2.82,1.05,32.7,350
51,Control_Untrained,1.53,91.9,713.9,0.72,0.28,1.24,0.94,82.0,0
52,VR_Inoculated,1.53,91.9,447.1,0.94,0.06,2.82,1.05,34.3,350
53,Control_Untrained,0.98,90.7,734.1,0.72,0.28,1.24,0.94,66.2,0
54,VR_Inoculated,0.98,90.7,434.9,0.94,0.06,2.82,1.05,46.5,350
55,Control_Untrained,3.78,88.1,696.1,0.72,0.28,1.24,0.94,68.0,0
56,VR_Inoculated,3.78,88.1,454.3,0.94,0.06,2.82,1.05,40.8,350
57,Control_Untrained,3.43,91.4,774.7,0.72,0.28,1.24,0.94,76.3,0
58,VR_Inoculated,3.43,91.4,456.7,0.94,0.06,2.82,1.05,38.4,350
59,Control_Untrained,3.35,92.1,691.3,0.72,0.28,1.24,0.94,74.5,0
60,VR_Inoculated,3.35,92.1,506.7,0.94,0.06,2.82,1.05,41.4,350
61,Control_Untrained,3.96,91.8,616.9,0.72,0.28,1.24,0.94,68.4,0
62,VR_Inoculated,3.96,91.8,445.2,0.94,0.06,2.82,1.05,29.0,350
63,Control_Untrained,0.54,86.0,698.2,0.72,0.28,1.24,0.94,85.1,0
64,VR_Inoculated,0.54,86.0,487.4,0.94,0.06,2.82,1.05,45.3,350
65,Control_Untrained,4.16,85.9,719.9,0.72,0.28,1.24,0.94,78.8,0
66,VR_Inoculated,4.16,85.9,521.3,0.94,0.06,2.82,1.05,34.6,350
67,Control_Untrained,0.5,92.0,676.1,0.72,0.28,1.24,0.94,76.5,0
68,VR_Inoculated,0.5,92.0,509.5,0.94,0.06,2.82,1.05,49.0,350
69,Control_Untrained,2.09,86.0,737.7,0.72,0.28,1.24,0.94,71.8,0
70,VR_Inoculated,2.09,86.0,539.4,0.94,0.06,2.82,1.05,44.7,350
71,Control_Untrained,3.87,92.7,731.8,0.72,0.28,1.24,0.94,70.8,0
72,VR_Inoculated,3.87,92.7,525.0,0.94,0.06,2.82,1.05,42.4,350
73,Control_Untrained,2.21,89.4,807.9,0.72,0.28,1.24,0.94,75.6,0
74,VR_Inoculated,2.21,89.4,494.8,0.94,0.06,2.82,1.05,30.8,350
75,Control_Untrained,1.84,92.0,682.3,0.72,0.28,1.24,0.94,82.4,0
76,VR_Inoculated,1.84,92.0,504.2,0.94,0.06,2.82,1.05,51.1,350
77,Control_Untrained,0.77,85.4,753.8,0.72,0.28,1.24,0.94,77.8,0
78,VR_Inoculated,0.77,85.4,475.5,0.94,0.06,2.82,1.05,42.5,350
79,Control_Untrained,2.42,90.8,662.8,0.72,0.28,1.24,0.94,82.9,0
80,VR_Inoculated,2.42,90.8,537.6,0.94,0.06,2.82,1.05,35.4,350
81,Control_Untrained,0.96,88.6,702.6,0.72,0.28,1.24,0.94,71.4,0
82,VR_Inoculated,0.96,88.6,487.4,0.94,0.06,2.82,1.05,42.9,350
83,Control_Untrained,1.86,86.3,739.3,0.72,0.28,1.24,0.94,65.6,0
84,VR_Inoculated,1.86,86.3,454.8,0.94,0.06,2.82,1.05,47.1,350
85,Control_Untrained,3.04,88.5,800.8,0.72,0.28,1.24,0.94,76.1,0
86,VR_Inoculated,3.04,88.5,475.7,0.94,0.06,2.82,1.05,38.5,350
87,Control_Untrained,3.71,91.0,686.2,0.72,0.28,1.24,0.94,73.6,0
88,VR_Inoculated,3.71,91.0,464.2,0.94,0.06,2.82,1.05,42.5,350
89,Control_Untrained,2.88,91.1,833.8,0.72,0.28,1.24,0.94,72.7,0
90,VR_Inoculated,2.88,91.1,440.5,0.94,0.06,2.82,1.05,37.3,350
91,Control_Untrained,4.12,87.1,870.0,0.72,0.28,1.24,0.94,76.4,0
92,VR_Inoculated,4.12,87.1,524.4,0.94,0.06,2.82,1.05,45.0,350
93,Control_Untrained,1.35,88.0,714.2,0.72,0.28,1.24,0.94,72.4,0
94,VR_Inoculated,1.35,88.0,517.3,0.94,0.06,2.82,1.05,48.5,350
95,Control_Untrained,2.11,85.9,752.5,0.72,0.28,1.24,0.94,71.1,0
96,VR_Inoculated,2.11,85.9,484.5,0.94,0.06,2.82,1.05,38.8,350
97,Control_Untrained,3.53,89.0,661.1,0.72,0.28,1.24,0.94,73.7,0
98,VR_Inoculated,3.53,89.0,505.8,0.94,0.06,2.82,1.05,41.9,350
99,Control_Untrained,1.72,92.1,790.9,0.72,0.28,1.24,0.94,68.8,0
100,VR_Inoculated,1.72,92.1,438.7,0.94,0.06,2.82,1.05,42.1,350
